component_qualified_name,component_name,business_system_group,component_type,scope,supply_chains
CocoPharma::SolutionComponent::ProductMasterRegister,Product Master Register,Data Hub,Data Storage,internal,Batch Manufacturing and Release; Product Serialisation and Verification; New Drug Product Details; Clinical Trials; Cold Chain and Dangerous Goods Consignment
CocoPharma::SolutionComponent::ProductDataDistribution,Product Data Distribution,Data Hub,Data Distribution,internal,New Drug Product Details
CocoPharma::SolutionComponent::TreatmentOrderingPortal,Treatment Ordering Portal,Patient Treatment (Sales/Direct) Systems,User Interface,internal,Personalized Treatment Ordering; Adverse Event and Safety Reporting
CocoPharma::SolutionComponent::PatientIdentityRegister,Patient Identity Register,Patient Treatment (Sales/Direct) Systems,Data Storage,internal,Personalized Treatment Ordering; Data Subject Rights
CocoPharma::SolutionComponent::OrderToInvoice,Order to Invoice Processing,Finance Systems,Multi-Step Process,internal,Personalized Treatment Ordering; Financial Close and External Reporting
CocoPharma::SolutionComponent::SubledgerFeeds,Subledger Feeds,Finance Systems,Data Distribution,internal,Financial Close and External Reporting; Employee Expense Payment; New Employee Onboarding; Personalized Treatment Ordering; Third Party Onboarding and Payment
CocoPharma::SolutionComponent::JournalEntryReview,Journal Entry Review,Finance Systems,Manual Process,internal,Financial Close and External Reporting
CocoPharma::SolutionComponent::GroupConsolidation,Group Consolidation Engine,Finance Systems,Multi-Step Process,internal,Financial Close and External Reporting
CocoPharma::SolutionComponent::DisclosureReporting,Disclosure and Statutory Reporting,Finance Systems,Publishing,internal,Financial Close and External Reporting; Third Party Onboarding and Payment
CocoPharma::SolutionComponent::ControlsEvidenceRepository,Controls Evidence Repository,Finance Systems,Data Storage,internal,Financial Close and External Reporting
CocoPharma::SolutionComponent::PaymentDetailChangeControl,Payment Detail Change Control,Finance Systems,Automated Action,internal,Third Party Onboarding and Payment
CocoPharma::SolutionComponent::SupplierPaymentProcessing,Supplier Payment Processing,Finance Systems,Multi-Step Process,internal,Financial Close and External Reporting; Third Party Onboarding and Payment
