id,forecast_date,sales_rep,segment,value_gbp,probability,deal_id,stage,close_date,currency,creation_date
UK-REC-00001,2023-07-01,UK_REP_02,Therapeutics,11652.8,0.41,UK-OPP-00001,Pipeline,2023-09-14,GBP,2023-07-01
UK-REC-00002,2023-07-01,UK_REP_02,Vaccines,80896.25,0.0,UK-OPP-00002,Closed Lost,2023-09-23,GBP,2023-07-01
UK-REC-00003,2023-07-03,UK_REP_01,Therapeutics,85559.21,0.26,UK-OPP-00003,Pipeline,2023-09-23,GBP,2023-07-03
UK-REC-00004,2023-07-05,UK_REP_03,Diagnostics,63377.84,0.74,UK-OPP-00004,Upside,2023-09-07,GBP,2023-07-05
UK-REC-00005,2023-07-07,UK_REP_01,Vaccines,79370.28,0.95,UK-OPP-00005,Commit,2023-09-09,GBP,2023-07-07
UK-REC-00006,2023-07-07,UK_REP_04,Devices,26680.18,0.84,UK-OPP-00006,Commit,2023-10-01,GBP,2023-07-07
UK-REC-00007,2023-07-14,UK_REP_01,Vaccines,64655.73,0.33,UK-OPP-00007,Pipeline,2023-10-10,GBP,2023-07-14
UK-REC-00008,2023-07-16,UK_REP_04,Devices,18889.79,0.24,UK-OPP-00008,Pipeline,2023-09-12,GBP,2023-07-16
UK-REC-00009,2023-07-20,UK_REP_01,Diagnostics,84474.17,0.39,UK-OPP-00009,Pipeline,2023-09-03,GBP,2023-07-20
UK-REC-00010,2023-07-20,UK_REP_01,Devices,31746.89,0.0,UK-OPP-00010,Closed Lost,2023-09-11,GBP,2023-07-20
UK-REC-00011,2023-07-23,UK_REP_01,Vaccines,28694.44,0.67,UK-OPP-00011,Upside,2023-11-07,GBP,2023-07-23
UK-REC-00012,2023-07-27,UK_REP_04,Therapeutics,53972.07,0.73,UK-OPP-00012,Upside,2023-10-20,GBP,2023-07-27
UK-REC-00013,2023-07-29,UK_REP_04,Vaccines,66591.88,0.43,UK-OPP-00013,Pipeline,2023-11-12,GBP,2023-07-29
UK-REC-00014,2023-08-02,UK_REP_03,Vaccines,13317.38,1.0,UK-OPP-00014,Closed Won,2023-11-03,GBP,2023-08-02
UK-REC-00015,2023-08-10,UK_REP_03,Diagnostics,29336.9,0.74,UK-OPP-00015,Upside,2023-10-11,GBP,2023-08-10
UK-REC-00016,2023-08-10,UK_REP_02,Devices,83830.18,0.0,UK-OPP-00016,Closed Lost,2023-09-10,GBP,2023-08-10
UK-REC-00017,2023-08-12,UK_REP_02,Diagnostics,75065.77,0.68,UK-OPP-00017,Upside,2023-09-23,GBP,2023-08-12
UK-REC-00018,2023-08-18,UK_REP_04,Therapeutics,14933.67,0.25,UK-OPP-00018,Pipeline,2023-11-27,GBP,2023-08-18
UK-REC-00019,2023-08-18,UK_REP_01,Diagnostics,52626.71,0.24,UK-OPP-00019,Pipeline,2023-11-29,GBP,2023-08-18
UK-REC-00020,2023-08-19,UK_REP_04,Vaccines,57009.97,0.87,UK-OPP-00020,Commit,2023-12-09,GBP,2023-08-19
UK-REC-00021,2023-08-20,UK_REP_02,Devices,18452.63,0.69,UK-OPP-00021,Upside,2023-11-24,GBP,2023-08-20
UK-REC-00022,2023-08-21,UK_REP_04,Vaccines,50153.21,0.92,UK-OPP-00022,Commit,2023-11-22,GBP,2023-08-21
UK-REC-00023,2023-08-24,UK_REP_02,Diagnostics,87712.9,1.0,UK-OPP-00023,Closed Won,2023-12-15,GBP,2023-08-24
UK-REC-00024,2023-08-25,UK_REP_03,Therapeutics,72827.46,0.41,UK-OPP-00024,Pipeline,2023-09-26,GBP,2023-08-25
UK-REC-00025,2023-09-01,UK_REP_01,Diagnostics,44934.97,0.8,UK-OPP-00025,Commit,2023-11-06,GBP,2023-09-01
UK-REC-00026,2023-09-02,UK_REP_04,Therapeutics,8572.04,0.7,UK-OPP-00026,Upside,2023-12-03,GBP,2023-09-02
UK-REC-00027,2023-09-04,UK_REP_03,Vaccines,51564.65,0.58,UK-OPP-00027,Upside,2023-10-10,GBP,2023-09-04
UK-REC-00028,2023-09-06,UK_REP_02,Devices,39527.16,1.0,UK-OPP-00028,Closed Won,2023-10-29,GBP,2023-09-06
UK-REC-00029,2023-09-07,UK_REP_03,Diagnostics,86396.79,0.16,UK-OPP-00029,Pipeline,2023-11-28,GBP,2023-09-07
UK-REC-00030,2023-09-13,UK_REP_04,Diagnostics,40824.17,0.39,UK-OPP-00030,Pipeline,2023-12-04,GBP,2023-09-13
UK-REC-00031,2023-09-14,UK_REP_03,Therapeutics,46904.08,0.55,UK-OPP-00031,Upside,2023-10-17,GBP,2023-09-14
UK-REC-00032,2023-09-17,UK_REP_01,Vaccines,38323.22,0.0,UK-OPP-00032,Closed Lost,2024-01-01,GBP,2023-09-17
UK-REC-00033,2023-09-26,UK_REP_04,Vaccines,92852.13,0.36,UK-OPP-00033,Pipeline,2023-12-28,GBP,2023-09-26
UK-REC-00034,2023-09-27,UK_REP_02,Devices,56251.81,0.65,UK-OPP-00034,Upside,2023-12-27,GBP,2023-09-27
UK-REC-00035,2023-09-27,UK_REP_01,Devices,48781.23,0.82,UK-OPP-00035,Commit,2024-01-15,GBP,2023-09-27
UK-REC-00036,2023-09-28,UK_REP_03,Vaccines,81603.0,0.16,UK-OPP-00036,Pipeline,2024-01-10,GBP,2023-09-28
UK-REC-00037,2023-09-30,UK_REP_01,Vaccines,24525.88,0.0,UK-OPP-00037,Closed Lost,2023-12-14,GBP,2023-09-30
UK-REC-00038,2023-10-01,UK_REP_02,Diagnostics,105759.45,0.75,UK-OPP-00038,Upside,2024-01-04,GBP,2023-10-01
UK-REC-00039,2023-10-01,UK_REP_01,Diagnostics,97093.97,0.82,UK-OPP-00039,Commit,2023-11-24,GBP,2023-10-01
UK-REC-00040,2023-10-01,UK_REP_03,Therapeutics,47518.72,0.91,UK-OPP-00040,Commit,2023-11-07,GBP,2023-10-01
UK-REC-00041,2023-10-03,UK_REP_01,Diagnostics,31643.89,0.73,UK-OPP-00041,Upside,2023-12-18,GBP,2023-10-03
UK-REC-00042,2023-10-03,UK_REP_01,Devices,102167.56,0.0,UK-OPP-00042,Closed Lost,2023-11-27,GBP,2023-10-03
UK-REC-00043,2023-10-03,UK_REP_02,Vaccines,29172.12,1.0,UK-OPP-00043,Closed Won,2023-12-08,GBP,2023-10-03
