system_id,system_name,system_serial_number,system_install_date,description,operating_system,latest_patch_level,latest_patch_date
AUS-SYS-001,CDH-AUS-7X-00142,SN-CDH-AUS-7X-00142,2019-04-15,"Cloudera Data Platform — primary Hadoop data lake cluster (12-node) holding 5 years of manufacturing batch records, sensor telemetry, QC results and production metrics",Red Hat Enterprise Linux 8.9,8.9,2024-10-01
AUS-SYS-002,CDH-AUS-7X-00143,SN-CDH-AUS-7X-00143,2019-04-15,"Cloudera Data Platform — secondary Hadoop data lake cluster (8-node) providing high availability and data replication for the primary lake",Red Hat Enterprise Linux 8.9,8.9,2024-10-01
AUS-SYS-003,CDH-AUS-EDGE-001,SN-CDH-AUS-EDGE-001,2019-05-02,"Cloudera Edge node — gateway server managing data ingestion pipelines from manufacturing floor systems into the Hadoop data lake",Red Hat Enterprise Linux 8.9,8.9,2024-10-01
AUS-SYS-004,CDH-AUS-KNOX-001,SN-CDH-AUS-KNOX-001,2020-01-14,"Apache Knox gateway providing perimeter security and REST API access control for the Hadoop data lake cluster",Red Hat Enterprise Linux 8.9,8.9,2024-10-01
AUS-SYS-005,NFS-AUS-STOR-001,SN-NFS-AUS-STOR-001,2019-04-10,"NetApp AFF A400 storage array providing NFS backing store for Hadoop NameNode metadata and HDFS persistent volumes",NetApp ONTAP,9.13.1P4,2024-09-15
AUS-SYS-006,SPARK-AUS-001,SN_SPARK-AUS-001,2021-06-20,"Apache Spark on YARN cluster for large-scale batch analytics and machine learning over manufacturing data lake content",Red Hat Enterprise Linux 8.9,8.9,2024-10-01
AUS-SYS-007,KAFKA-AUS-001,SN-KAFKA-AUS-001,2020-08-11,"Apache Kafka cluster (3-broker) for real-time streaming of shop-floor sensor data and MES events into the data lake",Red Hat Enterprise Linux 8.9,8.9,2024-10-01
AUS-SYS-008,HIVE-AUS-001,SN-HIVE-AUS-001,2019-07-03,"Apache Hive metastore and query engine providing SQL access to manufacturing data lake tables for reporting and analytics teams",Red Hat Enterprise Linux 8.9,8.9,2024-10-01
AUS-SYS-009,SAP-AUS-ERP-001,SN-SAP-AU-20180923,2018-09-23,"SAP S/4HANA ERP — finance, procurement, inventory management, production planning and cost accounting for the Austin plant",SUSE Linux Enterprise Server 15 SP5,2024.Q3,2024-09-30
AUS-SYS-010,SAP-AUS-HANA-001,SN-HANA-AU-20180923,2018-09-23,"SAP HANA in-memory database appliance providing the persistence layer for the Austin SAP S/4HANA ERP instance",SUSE Linux Enterprise Server 15 SP5,2024.Q3,2024-09-30
AUS-SYS-011,OMS-AUS-001,SN-OMS-AU-20200310,2020-03-10,"Order management system (Oracle Order Management Cloud) handling customer order entry, fulfilment workflow and order status tracking",Oracle Linux 8.9,8.9,2024-10-05
AUS-SYS-012,WMS-AUS-001,SN-WMS-AU-20200315,2020-03-15,"Warehouse management system (Manhattan Associates WMS) managing inbound receipts, put-away, pick, pack and despatch of finished pharmaceutical goods",Red Hat Enterprise Linux 8.9,8.9,2024-10-03
AUS-SYS-013,TMS-AUS-001,SN-TMS-AU-20211004,2021-10-04,"Transportation management system (Oracle TMS) for carrier selection, shipment planning and delivery tracking of outbound orders",Oracle Linux 8.9,8.9,2024-10-05
AUS-SYS-014,SRM-AUS-001,SN-SRM-AU-20190617,2019-06-17,"Supplier relationship management portal (SAP Ariba) for purchase orders, supplier onboarding, contract management and supplier performance scoring",SaaS,2024.Q4,2024-10-01
AUS-SYS-015,EDI-AUS-001,SN-EDI-AU-20190620,2019-06-20,"EDI gateway (OpenText Trading Grid) for automated B2B document exchange — purchase orders, ASNs and invoices — with suppliers and 3PL partners",Windows Server 2022,22H2,2024-09-18
AUS-SYS-016,CRM-AUS-001,SN-CRM-AU-20200901,2020-09-01,"Salesforce Sales Cloud CRM managing pharmaceutical distributor and hospital key accounts, opportunity pipeline and order forecasting for the US region",SaaS,Winter '25,2024-10-12
