"system_id","subsystem_id","system_name","system_serial_number","system_install_date","description","operating_system","latest_patch_level","latest_patch_date"
"AUS-SYS-001","SS-AUS-001","Cloudera Data Platform (Primary Cluster)","CDH-AUS-7X-00142","2019-04-15","Cloudera Data Platform — primary Hadoop data lake cluster (12-node) holding 5 years of manufacturing batch records, sensor telemetry, QC results and production metrics","Red Hat Enterprise Linux 8.9","8.9","2024-10-01"
"AUS-SYS-002","SS-AUS-001","Cloudera Data Platform (Secondary Cluster)","CDH-AUS-7X-00143","2019-04-15","Cloudera Data Platform — secondary Hadoop data lake cluster (8-node) providing high availability and data replication for the primary lake","Red Hat Enterprise Linux 8.9","8.9","2024-10-01"
"AUS-SYS-003","SS-AUS-001","CDP Edge Node","CDH-AUS-EDGE-001","2019-05-02","Cloudera Edge node — gateway server managing data ingestion pipelines from manufacturing floor systems into the Hadoop data lake","Red Hat Enterprise Linux 8.9","8.9","2024-10-01"
"AUS-SYS-004","SS-AUS-001","Apache Knox Gateway","CDH-AUS-KNOX-001","2020-01-14","Apache Knox gateway providing perimeter security and REST API access control for the Hadoop data lake cluster","Red Hat Enterprise Linux 8.9","8.9","2024-10-01"
"AUS-SYS-005","SS-AUS-001","NetApp AFF A400 Storage","NFS-AUS-STOR-001","2019-04-10","NetApp AFF A400 storage array providing NFS backing store for Hadoop NameNode metadata and HDFS persistent volumes","NetApp ONTAP","9.13.1P4","2024-09-15"
"AUS-SYS-006","SS-AUS-001","Apache Spark","SPARK-AUS-001","2021-06-20","Apache Spark on YARN cluster for large-scale batch analytics and machine learning over manufacturing data lake content","Red Hat Enterprise Linux 8.9","8.9","2024-10-01"
"AUS-SYS-007","SS-AUS-001","Apache Kafka","KAFKA-AUS-001","2020-08-11","Apache Kafka cluster (3-broker) for real-time streaming of shop-floor sensor data and MES events into the data lake","Red Hat Enterprise Linux 8.9","8.9","2024-10-01"
"AUS-SYS-008","SS-AUS-001","Apache Hive","HIVE-AUS-001","2019-07-03","Apache Hive metastore and query engine providing SQL access to manufacturing data lake tables for reporting and analytics teams","Red Hat Enterprise Linux 8.9","8.9","2024-10-01"
"AUS-SYS-009","SS-AUS-004","SAP S/4HANA","SN-SAP-AU-20180923","2018-09-23","SAP S/4HANA ERP — finance, procurement, inventory management, production planning and cost accounting for the Austin plant","SUSE Linux Enterprise Server 15 SP5","2024.Q3","2024-09-30"
"AUS-SYS-010","SS-AUS-004","SAP HANA Database","SN-HANA-AU-20180923","2018-09-23","SAP HANA in-memory database appliance providing the persistence layer for the Austin SAP S/4HANA ERP instance","SUSE Linux Enterprise Server 15 SP5","2024.Q3","2024-09-30"
"AUS-SYS-011","SS-AUS-005","Oracle Order Management","SN-OMS-AU-20200310","2020-03-10","Order management system (Oracle Order Management Cloud) handling customer order entry, fulfilment workflow and order status tracking","Oracle Linux 8.9","8.9","2024-10-05"
"AUS-SYS-012","SS-AUS-005","Manhattan WMS","SN-WMS-AU-20200315","2020-03-15","Warehouse management system (Manhattan Associates WMS) managing inbound receipts, put-away, pick, pack and despatch of finished pharmaceutical goods","Red Hat Enterprise Linux 8.9","8.9","2024-10-03"
"AUS-SYS-013","SS-AUS-005","Oracle TMS","SN-TMS-AU-20211004","2021-10-04","Transportation management system (Oracle TMS) for carrier selection, shipment planning and delivery tracking of outbound orders","Oracle Linux 8.9","8.9","2024-10-05"
"AUS-SYS-014","SS-AUS-006","SAP Ariba SRM","SN-SRM-AU-20190617","2019-06-17","Supplier relationship management portal (SAP Ariba) for purchase orders, supplier onboarding, contract management and supplier performance scoring","SaaS","2024.Q4","2024-10-01"
"AUS-SYS-015","SS-AUS-006","OpenText Trading Grid EDI","SN-EDI-AU-20190620","2019-06-20","EDI gateway (OpenText Trading Grid) for automated B2B document exchange — purchase orders, ASNs and invoices — with suppliers and 3PL partners","Windows Server 2022","22H2","2024-09-18"
"AUS-SYS-016","SS-AUS-007","Salesforce Sales Cloud CRM","SN-CRM-AU-20200901","2020-09-01","Salesforce Sales Cloud CRM managing pharmaceutical distributor and hospital key accounts, opportunity pipeline and order forecasting for the US region","SaaS","Winter '25","2024-10-12"
"AUS-SYS-017","SS-AUS-007","Salesforce Marketing Cloud","SN-MKT-AU-20210215","2021-02-15","Salesforce Marketing Cloud for campaign management, email marketing and HCP engagement tracking across the US market","SaaS","Winter '25","2024-10-12"
"AUS-SYS-018","SS-AUS-007","ServiceNow Customer Service Management","SN-CSS-AU-20220601","2022-06-01","ServiceNow Customer Service Management for post-sale customer support, product complaint intake and field corrective action tracking","SaaS","Xanadu","2024-10-08"
"AUS-SYS-019","SS-AUS-008","Workday Human Capital Management","SN-HCM-AU-20190301","2019-03-01","Workday Human Capital Management for employee records, benefits, payroll, performance reviews and recruitment for the Austin plant workforce","SaaS","2024.Q4","2024-10-01"
"AUS-SYS-020","SS-AUS-008","Cornerstone OnDemand LMS","SN-LMS-AU-20200110","2020-01-10","Cornerstone OnDemand learning management system for GMP training compliance, role-based curricula and training record management","SaaS","2024.10","2024-10-07"
"AUS-SYS-021","SS-AUS-008","UKG Dimensions","SN-TNA-AU-20190305","2019-03-05","UKG Dimensions time and attendance system integrated with shift scheduling, overtime management and Austin plant payroll","SaaS","2024.Q4","2024-10-01"
"AUS-SYS-022","SS-AUS-002","Siemens Opcenter MES","SN-MES-AU-20180601","2018-06-01","Siemens Opcenter MES managing electronic batch records, production orders, in-process sampling and shop-floor genealogy for the Austin manufacturing lines","Windows Server 2022","22H2","2024-09-20"
"AUS-SYS-023","SS-AUS-002","Rockwell FactoryTalk SCADA","SN-SCA-AU-20180610","2018-06-10","Rockwell Automation FactoryTalk SCADA system for real-time monitoring and control of bioreactors, filling lines and environmental systems on the Austin manufacturing floor","Windows 10 IoT Enterprise","21H2","2024-08-14"
"AUS-SYS-024","SS-AUS-003","LabWare Enterprise LIMS","SN-LIM-AU-20190820","2019-08-20","LabWare Enterprise LIMS for sample lifecycle management, analytical instrument integration, test result entry and CoA generation in the Austin QC laboratory","Red Hat Enterprise Linux 8.9","8.9","2024-10-02"
