system_identifier,system_name,system_description,operating_system,patch_level,business_unit,business_owner
SYS-001,SAP ERP S/4HANA,"Enterprise resource planning system covering finance, procurement, inventory and production planning",SUSE Linux Enterprise Server 15 SP4,2024.Q3,Finance & Operations,Gheorghe Radu
SYS-002,Veeva Vault QMS,"Quality management system for document control, change management and CAPA tracking",SaaS,2024.10,Quality Assurance,Nicoleta Oprea
SYS-003,Siemens Opcenter MES,"Manufacturing execution system managing production orders, batch records and shop-floor data",Windows Server 2022,22H2,Manufacturing,Florin Stoica
SYS-004,LIMS LabWare Enterprise,"Laboratory information management system for sample tracking, test results and analytical instruments",Red Hat Enterprise Linux 8.9,8.9,Quality Control,Nicoleta Oprea
SYS-005,Trackwise Digital,"Regulatory affairs and deviation management system for GMP compliance tracking",SaaS,2024.09,Regulatory Affairs,Adina Petre
SYS-006,Veeva CRM,"Customer relationship management for sales and key account interactions with distributors and hospitals",SaaS,2024.10,Sales,Cristian Lungu
SYS-007,Microsoft 365,"Corporate productivity suite including Exchange Online email, Teams, SharePoint and OneDrive",SaaS,Current,All Business Units,Luminița Chiriac
SYS-008,Active Directory,"On-premises identity and access management for all corporate user accounts and group policies",Windows Server 2022,22H2,IT,Mihai Constantin
SYS-009,Cisco Meraki Network,"Corporate LAN/WAN and Wi-Fi infrastructure covering the Bucharest manufacturing site and offices",Meraki Firmware,18.211.2,IT,Lucian Preda
SYS-010,Veeam Backup & Replication,"Enterprise backup and disaster recovery platform for all on-premises servers and VMs",Windows Server 2022,12.1,IT,Lucian Preda
SYS-011,VMware vSphere,"On-premises server virtualisation platform hosting all internal application workloads",VMware ESXi 8.0,8.0 U2,IT,Lucian Preda
SYS-012,SAP Concur,"Travel and expense management system for employee expense claims and travel bookings",SaaS,2024.10,Finance & Operations,Mihaela Apostol
SYS-013,Workday HCM,"Human capital management system for employee records, payroll, performance and recruitment",SaaS,2024.Q4,Human Resources,Luminița Chiriac
SYS-014,PowerBI Enterprise,"Business intelligence and reporting platform connected to SAP ERP and manufacturing data",SaaS,2024.10,Finance & Operations,Simona Florescu
SYS-015,Rockwell FactoryTalk,"SCADA system monitoring and controlling the pharmaceutical manufacturing production lines",Windows 10 IoT Enterprise,21H2,Manufacturing,Florin Stoica
SYS-016,Maximo Asset Management,"Enterprise asset management for maintenance scheduling, work orders and equipment lifecycle",Red Hat Enterprise Linux 8.9,8.9,Facilities,Marian Bucur
SYS-017,Aris Process Modeller,"Business process modelling and documentation tool for GMP process maps and SOPs",Windows 11 Enterprise,23H2,Quality Assurance,Nicoleta Oprea
SYS-018,Serena Business Manager,"IT service management system for helpdesk ticketing, change and incident management",Windows Server 2019,1809,IT,Mihai Constantin
SYS-019,Warehouse Management System (WMS),"In-house warehouse management system tracking raw material and finished goods inventory locations",Ubuntu Server 22.04 LTS,22.04.3,Supply Chain,Ciprian Tudor
SYS-020,DocuSign eSignature,"Electronic signature platform for contracts, quality documents and regulatory submissions",SaaS,2024.10,Legal,Adina Petre
SYS-021,Veeva Vault RIM,"Regulatory information management for submission planning, dossier authoring and health authority tracking",SaaS,2024.10,Regulatory Affairs,Adina Petre
SYS-022,Proact Cold Chain Monitor,"IoT-based temperature and humidity monitoring for cold storage warehouses and cleanrooms",Embedded Linux,3.4.1,Manufacturing,Florin Stoica
SYS-023,Kronos Workforce,"Time and attendance system integrated with factory shift patterns and payroll",SaaS,2024.09,Human Resources,Luminița Chiriac
SYS-024,OpenText ECM,"Enterprise content management for archiving GMP batch records, regulatory correspondence and legal contracts",Windows Server 2019,1809,Legal,Adina Petre
SYS-025,Darktrace AI,"AI-powered cybersecurity threat detection and network anomaly monitoring",Debian 11,11.7,IT,Sorin Matei
SYS-026,Splunk SIEM,"Security information and event management platform for log aggregation and security alerting",Red Hat Enterprise Linux 8.9,8.9,IT,Sorin Matei
SYS-027,Empower Chromatography,"Chromatography data system managing HPLC and GC instrument data for analytical QC testing",Windows 10 Enterprise,22H2,Quality Control,Nicoleta Oprea
SYS-028,MarketingHub (HubSpot),"Inbound marketing, campaign management and lead tracking platform",SaaS,2024.10,Marketing,Roxana Dumitrescu
SYS-029,AutoCAD Plant 3D,"Engineering design tool for facility layout, piping diagrams and cleanroom schematics",Windows 11 Enterprise,23H2,Facilities,Marian Bucur
SYS-030,Azure DevOps,"Source control, CI/CD pipelines and agile project tracking for internal software development",SaaS,Current,IT,Mihai Constantin
