estate,source_system_qualified_name,source_system_name,target_system_qualified_name,target_system_name,interaction_id,supply_chain_qualified_name,supply_chain_id,wire_label,data_exchanged,description,component1,component2
Coco core,System::manufacturing-planning,Global Manufacturing Planning,System::MFCTRL9482,Austin Manufacturing Control System,,InformationSupplyChain::Personalized Treatment Ordering Information Supply Chain,Personalized-Treatment-Ordering,open batch,"batch identity, pseudonym, product specification","The scheduled slot opens a batch record. This is where the ordering chain hands over to the manufacturing chain, and where the chain of identity obligation attaches to the batch.",PersonalisedOrderScheduler,ElectronicBatchRecord
Coco core,System::manufacturing-planning,Global Manufacturing Planning,System::MFCTRL9482,Austin Manufacturing Control System,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,open batch,"batch identity, pseudonym, product specification","The scheduled slot opens a batch record. This is where the ordering chain hands over to the manufacturing chain, and where the chain of identity obligation attaches to the batch.",PersonalisedOrderScheduler,ElectronicBatchRecord
Coco core,System::manufacturing-planning,Global Manufacturing Planning,System::ed-mfg-control,Edmonton Manufacturing Control System,,InformationSupplyChain::Personalized Treatment Ordering Information Supply Chain,Personalized-Treatment-Ordering,open batch,"batch identity, pseudonym, product specification","The scheduled slot opens a batch record. This is where the ordering chain hands over to the manufacturing chain, and where the chain of identity obligation attaches to the batch.",PersonalisedOrderScheduler,ElectronicBatchRecord
Coco core,System::manufacturing-planning,Global Manufacturing Planning,System::ed-mfg-control,Edmonton Manufacturing Control System,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,open batch,"batch identity, pseudonym, product specification","The scheduled slot opens a batch record. This is where the ordering chain hands over to the manufacturing chain, and where the chain of identity obligation attaches to the batch.",PersonalisedOrderScheduler,ElectronicBatchRecord
Coco core,System::manufacturing-planning,Global Manufacturing Planning,System::winch-mfg-control,Winchester Manufacturing Control System,,InformationSupplyChain::Personalized Treatment Ordering Information Supply Chain,Personalized-Treatment-Ordering,open batch,"batch identity, pseudonym, product specification","The scheduled slot opens a batch record. This is where the ordering chain hands over to the manufacturing chain, and where the chain of identity obligation attaches to the batch.",PersonalisedOrderScheduler,ElectronicBatchRecord
Coco core,System::manufacturing-planning,Global Manufacturing Planning,System::winch-mfg-control,Winchester Manufacturing Control System,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,open batch,"batch identity, pseudonym, product specification","The scheduled slot opens a batch record. This is where the ordering chain hands over to the manufacturing chain, and where the chain of identity obligation attaches to the batch.",PersonalisedOrderScheduler,ElectronicBatchRecord
Austin,SoftwareServer::AUS-SYS-009::SN-SAP-AU-20180923,SAP S/4HANA,SoftwareServer::AUS-SYS-026::SN-EBR-AU-20200301,Veeva Vault EBR,,InformationSupplyChain::Personalized Treatment Ordering Information Supply Chain,Personalized-Treatment-Ordering,open batch,"batch identity, pseudonym, product specification","The scheduled slot opens a batch record. This is where the ordering chain hands over to the manufacturing chain, and where the chain of identity obligation attaches to the batch.",PersonalisedOrderScheduler,ElectronicBatchRecord
Austin,SoftwareServer::AUS-SYS-009::SN-SAP-AU-20180923,SAP S/4HANA,SoftwareServer::AUS-SYS-026::SN-EBR-AU-20200301,Veeva Vault EBR,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,open batch,"batch identity, pseudonym, product specification","The scheduled slot opens a batch record. This is where the ordering chain hands over to the manufacturing chain, and where the chain of identity obligation attaches to the batch.",PersonalisedOrderScheduler,ElectronicBatchRecord
Bucharest,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,SoftwareServer::SYS-024::OpenText ECM,OpenText ECM,,InformationSupplyChain::Personalized Treatment Ordering Information Supply Chain,Personalized-Treatment-Ordering,open batch,"batch identity, pseudonym, product specification","The scheduled slot opens a batch record. This is where the ordering chain hands over to the manufacturing chain, and where the chain of identity obligation attaches to the batch.",PersonalisedOrderScheduler,ElectronicBatchRecord
Bucharest,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,SoftwareServer::SYS-024::OpenText ECM,OpenText ECM,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,open batch,"batch identity, pseudonym, product specification","The scheduled slot opens a batch record. This is where the ordering chain hands over to the manufacturing chain, and where the chain of identity obligation attaches to the batch.",PersonalisedOrderScheduler,ElectronicBatchRecord
Bucharest,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,SoftwareServer::SYS-003::Siemens Opcenter MES,Siemens Opcenter MES,,InformationSupplyChain::Personalized Treatment Ordering Information Supply Chain,Personalized-Treatment-Ordering,open batch,"batch identity, pseudonym, product specification","The scheduled slot opens a batch record. This is where the ordering chain hands over to the manufacturing chain, and where the chain of identity obligation attaches to the batch.",PersonalisedOrderScheduler,ElectronicBatchRecord
Bucharest,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,SoftwareServer::SYS-003::Siemens Opcenter MES,Siemens Opcenter MES,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,open batch,"batch identity, pseudonym, product specification","The scheduled slot opens a batch record. This is where the ordering chain hands over to the manufacturing chain, and where the chain of identity obligation attaches to the batch.",PersonalisedOrderScheduler,ElectronicBatchRecord
Coco core,System::globalCRM,Global customer ordering system,System::coco-ledgers,Coco Ledgers,,InformationSupplyChain::Personalized Treatment Ordering Information Supply Chain,Personalized-Treatment-Ordering,revenue posting,"invoice, revenue recognition data",Invoiced revenue posts to the ledger and is consolidated into the published figures.,OrderToInvoice,SolutionComponent::Accounting ledgers::V1.0
Coco core,System::globalCRM,Global customer ordering system,System::coco-ledgers,Coco Ledgers,,InformationSupplyChain::Financial Close and External Reporting Information Supply Chain,Financial-Close-External-Reporting,revenue posting,"invoice, revenue recognition data",Invoiced revenue posts to the ledger and is consolidated into the published figures.,OrderToInvoice,SolutionComponent::Accounting ledgers::V1.0
Austin,SoftwareServer::AUS-SYS-018::SN-CSS-AU-20220601,ServiceNow Customer Service Management,SoftwareServer::AUS-SYS-025::SN-QMS-AU-20190901,Veeva Vault QMS,INT-AUS-037,InformationSupplyChain::Adverse Event and Safety Reporting Information Supply Chain,Adverse-Event-Reporting,complaint with safety content,"complaint, product, batch, reported harm","Complaints that may also be safety events are routed on deliberately generously: a false positive costs an assessment, a false negative costs a missed report.",ProductComplaintIntake,SafetyIntakeGateway
Austin,SoftwareServer::AUS-SYS-027::SN-CHR-AU-20180615,Waters Empower 3,SoftwareServer::AUS-SYS-022::SN-MES-AU-20180601,Siemens Opcenter MES,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,in-process results,"sample results, specification comparison",In-process results are gates rather than reports: the next step does not start until the laboratory has answered.,LaboratoryInformationManagement,ManufacturingExecution
Austin,SoftwareServer::AUS-SYS-024::SN-LIM-AU-20190820,LabWare Enterprise LIMS,SoftwareServer::AUS-SYS-022::SN-MES-AU-20180601,Siemens Opcenter MES,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,in-process results,"sample results, specification comparison",In-process results are gates rather than reports: the next step does not start until the laboratory has answered.,LaboratoryInformationManagement,ManufacturingExecution
Bucharest,SoftwareServer::SYS-027::Empower Chromatography,Empower Chromatography,SoftwareServer::SYS-003::Siemens Opcenter MES,Siemens Opcenter MES,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,in-process results,"sample results, specification comparison",In-process results are gates rather than reports: the next step does not start until the laboratory has answered.,LaboratoryInformationManagement,ManufacturingExecution
Bucharest,SoftwareServer::SYS-004::LIMS LabWare Enterprise,LIMS LabWare Enterprise,SoftwareServer::SYS-003::Siemens Opcenter MES,Siemens Opcenter MES,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,in-process results,"sample results, specification comparison",In-process results are gates rather than reports: the next step does not start until the laboratory has answered.,LaboratoryInformationManagement,ManufacturingExecution
Austin,SoftwareServer::AUS-SYS-029::SN-CMM-AU-20190401,IBM Maximo CMMS,SoftwareServer::AUS-SYS-022::SN-MES-AU-20180601,Siemens Opcenter MES,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,qualification status,"equipment identity, qualification and calibration validity","Status is read at the moment of use, because a qualification that lapsed last week invalidates production that has already happened.",EquipmentQualificationRegister,ManufacturingExecution
Bucharest,SoftwareServer::SYS-016::Maximo Asset Management,Maximo Asset Management,SoftwareServer::SYS-003::Siemens Opcenter MES,Siemens Opcenter MES,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,qualification status,"equipment identity, qualification and calibration validity","Status is read at the moment of use, because a qualification that lapsed last week invalidates production that has already happened.",EquipmentQualificationRegister,ManufacturingExecution
