"subsystem_id","subsystem_name","subsystem_description","business_owner","member_system_ids"
"SS-EKG-001","Manufacturing & Process Control","Shop-floor systems managing production execution, real-time equipment control and cold chain environmental monitoring across the EKG Bucharest pharmaceutical manufacturing site","Florin Stoica","SYS-003, SYS-015, SYS-022"
"SS-EKG-002","Quality & Regulatory","Laboratory, quality management, process documentation and regulatory information systems supporting EU GMP and Romanian ANMDMR compliance and product release","Nicoleta Oprea","SYS-002, SYS-004, SYS-005, SYS-017, SYS-021, SYS-027"
"SS-EKG-003","ERP & Finance","SAP S/4HANA enterprise resource planning platform covering finance, procurement, inventory and production planning together with the employee expense management system","Gheorghe Radu","SYS-001, SYS-012"
"SS-EKG-004","Supply Chain","Warehouse management system tracking raw material and finished goods inventory locations across the Bucharest site","Ciprian Tudor","SYS-019"
"SS-EKG-005","Sales & Marketing","Customer relationship management and inbound marketing platform supporting EKG sales to pharmaceutical distributors and hospitals across Romania and the wider region","Cristian Lungu","SYS-006, SYS-028"
"SS-EKG-006","Human Resources","Systems managing the HR lifecycle for EKG employees including records, payroll, performance, recruitment and factory shift time and attendance","Luminița Chiriac","SYS-013, SYS-023"
"SS-EKG-007","Legal & Compliance","Electronic signature and enterprise content management systems for contracts, quality documents, regulatory correspondence and long-term GMP document retention","Adina Petre","SYS-020, SYS-024"
"SS-EKG-008","IT Infrastructure","On-premises and cloud infrastructure providing server virtualisation, backup, network connectivity, identity management, productivity, ITSM and software development tooling for EKG","Mihai Constantin","SYS-007, SYS-008, SYS-009, SYS-010, SYS-011, SYS-018, SYS-030"
"SS-EKG-009","Security","Cybersecurity platform providing AI-powered network threat detection and security event management across the EKG Bucharest IT and OT environments","Sorin Matei","SYS-025, SYS-026"
"SS-EKG-010","Analytics","Business intelligence platform providing financial, manufacturing and quality KPI reporting and dashboards for EKG management","Simona Florescu","SYS-014"
"SS-EKG-011","Asset & Facilities Management","Enterprise asset management and engineering design tools covering maintenance scheduling, equipment lifecycle management and facility layout documentation for the Bucharest site","Marian Bucur","SYS-016, SYS-029"
