"interaction_id","source_system_id","source_system_name","target_system_id","target_system_name","direction","interaction_type","protocol","frequency","data_exchanged","description"
"INT-001","SYS-015","Rockwell FactoryTalk","SYS-003","Siemens Opcenter MES","one-way","event stream","OPC-UA","real-time","Equipment status, line speed, alarms and setpoint values","SCADA pushes real-time machine telemetry and alarm events to MES for production order context"
"INT-002","SYS-022","Proact Cold Chain Monitor","SYS-003","Siemens Opcenter MES","one-way","event stream","MQTT","real-time","Temperature, humidity and differential pressure readings","Cold chain IoT sensors stream environmental readings to MES for in-process environmental monitoring records"
"INT-003","SYS-003","Siemens Opcenter MES","SYS-002","Veeva Vault QMS","one-way","API call","REST/HTTPS","on batch completion","Electronic batch record data and in-process deviations","MES posts completed batch records and any flagged in-process deviations to QMS for review and disposition"
"INT-004","SYS-003","Siemens Opcenter MES","SYS-001","SAP ERP S/4HANA","bidirectional","API call","RFC/HTTPS","hourly","Production orders, goods movements, material consumption and yield confirmation","SAP sends production orders to MES; MES confirms yield and material consumption back to SAP inventory"
"INT-005","SYS-003","Siemens Opcenter MES","SYS-024","OpenText ECM","one-way","file transfer","SFTP","on batch completion","Signed electronic batch records (PDF)","MES archives finalised batch record PDFs to OpenText ECM for long-term GMP retention"
"INT-006","SYS-003","Siemens Opcenter MES","SYS-014","PowerBI Enterprise","one-way","database query","ODBC","hourly","OEE metrics, batch cycle times, yield and scrap rates","PowerBI pulls manufacturing KPIs from MES reporting database for operational dashboards"
"INT-007","SYS-027","Empower Chromatography","SYS-004","LIMS LabWare Enterprise","one-way","API call","REST/HTTPS","on analysis completion","Chromatography results, peak areas and instrument run metadata","Empower pushes analytical results directly into LIMS sample records on completion of each instrument run"
"INT-008","SYS-004","LIMS LabWare Enterprise","SYS-002","Veeva Vault QMS","one-way","API call","REST/HTTPS","on out-of-spec result","Out-of-spec and out-of-trend test results","LIMS automatically raises a deviation record in QMS whenever a test result falls outside specification"
"INT-009","SYS-004","LIMS LabWare Enterprise","SYS-024","OpenText ECM","one-way","file transfer","SFTP","daily","Certificates of analysis (PDF) and raw data exports","LIMS exports signed CoA documents and raw analytical data to OpenText ECM for regulatory retention"
"INT-010","SYS-004","LIMS LabWare Enterprise","SYS-014","PowerBI Enterprise","one-way","database query","ODBC","daily","Right-first-time rates, test pass/fail counts and turnaround times","PowerBI pulls QC performance metrics from LIMS for quality KPI reporting"
"INT-011","SYS-002","Veeva Vault QMS","SYS-005","Trackwise Digital","one-way","API call","REST/HTTPS","on CAPA closure","Closed CAPA records and regulatory commitment actions","QMS pushes resolved CAPA records and any resulting regulatory commitments to Trackwise for submission tracking"
"INT-012","SYS-002","Veeva Vault QMS","SYS-017","Aris Process Modeller","bidirectional","file transfer","SFTP","on SOP change","Approved SOP documents and process maps","QMS exports approved SOPs to Aris for process mapping; Aris publishes updated process diagrams back to QMS as controlled documents"
"INT-013","SYS-002","Veeva Vault QMS","SYS-024","OpenText ECM","one-way","API call","REST/HTTPS","on document approval","Approved quality documents and change control records","QMS archives all approved GMP documents and change records to OpenText ECM"
"INT-014","SYS-005","Trackwise Digital","SYS-021","Veeva Vault RIM","one-way","API call","REST/HTTPS","on regulatory action","Regulatory commitment and variation submission records","Trackwise pushes regulatory commitment records to Veeva RIM for inclusion in health authority submission planning"
"INT-015","SYS-021","Veeva Vault RIM","SYS-024","OpenText ECM","one-way","file transfer","SFTP","on submission","Regulatory dossier documents and health authority correspondence","Veeva RIM exports finalised submission documents to OpenText ECM for long-term regulatory archive"
"INT-016","SYS-020","DocuSign eSignature","SYS-024","OpenText ECM","one-way","API call","REST/HTTPS","on signature completion","Fully executed signed documents","DocuSign pushes completed signed contracts and quality agreements to OpenText ECM immediately on final signature"
