estate,component1,component2,wire_label,reason,systems_at_component1,systems_at_component2
Austin,BatchReviewAndCertification,TreatmentDeliveryTracking,therapy released,both ends have several systems - choose the pair(s),SoftwareServer::AUS-SYS-025::SN-QMS-AU-20190901; SoftwareServer::AUS-SYS-026::SN-EBR-AU-20200301,SoftwareServer::AUS-SYS-013::SN-TMS-AU-20211004; SoftwareServer::AUS-SYS-044::SN-GIS-AU-20230601
Austin,TreatmentDeliveryTracking,OrderToInvoice,fulfilment confirmed,both ends have several systems - choose the pair(s),SoftwareServer::AUS-SYS-013::SN-TMS-AU-20211004; SoftwareServer::AUS-SYS-044::SN-GIS-AU-20230601,SoftwareServer::AUS-SYS-009::SN-SAP-AU-20180923; SoftwareServer::AUS-SYS-011::SN-OMS-AU-20200310
Austin,TreatmentOrderingPortal,SafetyIntakeGateway,clinician report,both ends have several systems - choose the pair(s),SoftwareServer::AUS-SYS-011::SN-OMS-AU-20200310; SoftwareServer::AUS-SYS-016::SN-CRM-AU-20200901,SoftwareServer::AUS-SYS-018::SN-CSS-AU-20220601; SoftwareServer::AUS-SYS-025::SN-QMS-AU-20190901
Coco core,SolutionComponent::Goods Inventory::V1.0,ManufacturingExecution,issue material,both ends have several systems - choose the pair(s),System::aus-inventory; System::coco-inventory,System::MFCTRL9482; System::ed-mfg-control; System::winch-mfg-control
Coco core,ManufacturingExecution,ElectronicBatchRecord,execution record,both ends have several systems - choose the pair(s),System::MFCTRL9482; System::ed-mfg-control; System::winch-mfg-control,System::MFCTRL9482; System::ed-mfg-control; System::winch-mfg-control
Bucharest,LaboratoryInformationManagement,ElectronicBatchRecord,finished product results,both ends have several systems - choose the pair(s),SoftwareServer::SYS-004::LIMS LabWare Enterprise; SoftwareServer::SYS-027::Empower Chromatography,SoftwareServer::SYS-003::Siemens Opcenter MES; SoftwareServer::SYS-024::OpenText ECM
Bucharest,DeviationAndCAPAManagement,ElectronicBatchRecord,deviation disposition,both ends have several systems - choose the pair(s),SoftwareServer::SYS-002::Veeva Vault QMS; SoftwareServer::SYS-005::Trackwise Digital,SoftwareServer::SYS-003::Siemens Opcenter MES; SoftwareServer::SYS-024::OpenText ECM
Bucharest,ElectronicBatchRecord,BatchReviewAndCertification,batch record for review,both ends have several systems - choose the pair(s),SoftwareServer::SYS-003::Siemens Opcenter MES; SoftwareServer::SYS-024::OpenText ECM,SoftwareServer::SYS-002::Veeva Vault QMS; SoftwareServer::SYS-003::Siemens Opcenter MES
Coco core,SolutionComponent::Hazardous Materials (HazMat) Inventory::V1.0,TransportClassificationService,substance identity,both ends have several systems - choose the pair(s),System::austin-haz-mat; System::coco-haz-mat,System::austin-haz-mat; System::coco-haz-mat
Coco core,TransportClassificationService,ShippingDocumentation,classification and requirements,both ends have several systems - choose the pair(s),System::austin-haz-mat; System::coco-haz-mat,System::EDDEPOT01; System::KCDEPOT01; System::WINCHDEPOT01
Coco core,ShippingDocumentation,SolutionComponent::Hazardous Materials (HazMat) Inventory::V1.0,consignment record,both ends have several systems - choose the pair(s),System::EDDEPOT01; System::KCDEPOT01; System::WINCHDEPOT01,System::austin-haz-mat; System::coco-haz-mat
Coco core,GoodsReceiptAndInspection,MaterialQuarantineControl,place in quarantine,both ends have several systems - choose the pair(s),System::EDDEPOT01; System::KCDEPOT01; System::WINCHDEPOT01; System::aus-inventory; System::coco-inventory,System::aus-inventory; System::coco-inventory
Austin,MaterialQuarantineControl,LaboratoryInformationManagement,request incoming testing,both ends have several systems - choose the pair(s),SoftwareServer::AUS-SYS-009::SN-SAP-AU-20180923; SoftwareServer::AUS-SYS-012::SN-WMS-AU-20200315,SoftwareServer::AUS-SYS-024::SN-LIM-AU-20190820; SoftwareServer::AUS-SYS-027::SN-CHR-AU-20180615
Bucharest,MaterialQuarantineControl,LaboratoryInformationManagement,request incoming testing,both ends have several systems - choose the pair(s),SoftwareServer::SYS-001::SAP ERP S/4HANA; SoftwareServer::SYS-019::Warehouse Management System (WMS),SoftwareServer::SYS-004::LIMS LabWare Enterprise; SoftwareServer::SYS-027::Empower Chromatography
Austin,LaboratoryInformationManagement,MaterialQuarantineControl,test results,both ends have several systems - choose the pair(s),SoftwareServer::AUS-SYS-024::SN-LIM-AU-20190820; SoftwareServer::AUS-SYS-027::SN-CHR-AU-20180615,SoftwareServer::AUS-SYS-009::SN-SAP-AU-20180923; SoftwareServer::AUS-SYS-012::SN-WMS-AU-20200315
Bucharest,LaboratoryInformationManagement,MaterialQuarantineControl,test results,both ends have several systems - choose the pair(s),SoftwareServer::SYS-004::LIMS LabWare Enterprise; SoftwareServer::SYS-027::Empower Chromatography,SoftwareServer::SYS-001::SAP ERP S/4HANA; SoftwareServer::SYS-019::Warehouse Management System (WMS)
Coco core,MaterialQuarantineControl,SolutionComponent::Goods Inventory::V1.0,release for use,both ends have several systems - choose the pair(s),System::aus-inventory; System::coco-inventory,System::aus-inventory; System::coco-inventory
Coco core,SolutionComponent::Goods Inventory::V1.0,SolutionComponent::Hazardous Materials (HazMat) Inventory::V1.0,hazardous holdings,both ends have several systems - choose the pair(s),System::aus-inventory; System::coco-inventory,System::austin-haz-mat; System::coco-haz-mat
Coco core,SolutionComponent::Hazardous Materials (HazMat) Inventory::V1.0,ExposureBandingRegister,substance holdings,both ends have several systems - choose the pair(s),System::austin-haz-mat; System::coco-haz-mat,System::austin-haz-mat; System::coco-haz-mat
Coco core,ExposureBandingRegister,TransportClassificationService,shared substance classification,both ends have several systems - choose the pair(s),System::austin-haz-mat; System::coco-haz-mat,System::austin-haz-mat; System::coco-haz-mat
