component_qualified_name,component_name,business_system_group,estate,system_qualified_name,system_name,confidence,note
CocoPharma::SolutionComponent::ProductMasterRegister,Product Master Register,Data Hub,Coco core,System::cocoProducts,Coco Product Management,Probable,"Board-level product planning rather than master data, but the only product system"
CocoPharma::SolutionComponent::ProductMasterRegister,Product Master Register,Data Hub,Austin,SoftwareServer::AUS-SYS-043::SN-MDM-AU-20220301,Informatica MDM,Strong,Golden product records
CocoPharma::SolutionComponent::ProductMasterRegister,Product Master Register,Data Hub,Bucharest,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,Possible,SAP material master
CocoPharma::SolutionComponent::ProductDataDistribution,Product Data Distribution,Data Hub,Austin,SoftwareServer::AUS-SYS-043::SN-MDM-AU-20220301,Informatica MDM,Strong,"MDM pushes golden records to SAP, Salesforce, Ariba and WMS on change"
CocoPharma::SolutionComponent::ProductDataDistribution,Product Data Distribution,Data Hub,Austin,SoftwareServer::AUS-SYS-042::SN-ETL-AU-20200901,Informatica IDMC,Strong,IDMC propagates the golden records
CocoPharma::SolutionComponent::TreatmentOrderingPortal,Treatment Ordering Portal,Patient Treatment (Sales/Direct) Systems,Coco core,System::globalCRM,Global customer ordering system,Strong,Manages sales of generic and personalised medicine
CocoPharma::SolutionComponent::TreatmentOrderingPortal,Treatment Ordering Portal,Patient Treatment (Sales/Direct) Systems,Austin,SoftwareServer::AUS-SYS-016::SN-CRM-AU-20200901,Salesforce Sales Cloud CRM,Probable,Distributor and hospital orders; nothing personalised
CocoPharma::SolutionComponent::TreatmentOrderingPortal,Treatment Ordering Portal,Patient Treatment (Sales/Direct) Systems,Austin,SoftwareServer::AUS-SYS-011::SN-OMS-AU-20200310,Oracle Order Management,Probable,Order entry and fulfilment workflow
CocoPharma::SolutionComponent::TreatmentOrderingPortal,Treatment Ordering Portal,Patient Treatment (Sales/Direct) Systems,Bucharest,SoftwareServer::SYS-006::Veeva CRM,Veeva CRM,Possible,Key account CRM
CocoPharma::SolutionComponent::PatientIdentityRegister,Patient Identity Register,Patient Treatment (Sales/Direct) Systems,Coco core,System::globalCRM,Global customer ordering system,Possible,"The order carries the patient, but this is an external SaaS - confirm what it holds"
CocoPharma::SolutionComponent::OrderToInvoice,Order to Invoice Processing,Finance Systems,Coco core,System::globalCRM,Global customer ordering system,Probable,Order side
CocoPharma::SolutionComponent::OrderToInvoice,Order to Invoice Processing,Finance Systems,Coco core,System::coco-ledgers,Coco Ledgers,Probable,Posting side
CocoPharma::SolutionComponent::OrderToInvoice,Order to Invoice Processing,Finance Systems,Austin,SoftwareServer::AUS-SYS-011::SN-OMS-AU-20200310,Oracle Order Management,Strong,"Order confirmation, ATP and invoicing"
