"interaction_id","source_system_id","source_system_name","target_system_id","target_system_name","direction","interaction_type","protocol","frequency","data_exchanged","description"
"INT-AUS-001","AUS-SYS-023","Rockwell FactoryTalk SCADA","AUS-SYS-022","Siemens Opcenter MES","one-way","event stream","OPC-UA","real-time","Equipment status, line speeds, alarms and setpoint values","SCADA streams real-time machine telemetry and alarm events to MES for production order context and in-process monitoring"
"INT-AUS-002","AUS-SYS-028","Honeywell Building Manager","AUS-SYS-022","Siemens Opcenter MES","one-way","event stream","BACnet/MQTT","real-time","Cleanroom temperature, humidity, differential pressure and particle counts","Environmental monitoring system streams cleanroom condition data to MES for inclusion in electronic batch records"
"INT-AUS-003","AUS-SYS-022","Siemens Opcenter MES","AUS-SYS-026","Veeva Vault EBR","bidirectional","API call","REST/HTTPS","real-time","Electronic batch record events, in-process checks and operator actions","MES provides real-time process data to EBR for paperless batch record completion; EBR returns review and e-signature status"
"INT-AUS-004","AUS-SYS-022","Siemens Opcenter MES","AUS-SYS-025","Veeva Vault QMS","one-way","API call","REST/HTTPS","on batch completion","Completed batch record summary and in-process deviations","MES posts batch completion events and any flagged in-process deviations to QMS for deviation management and batch disposition"
"INT-AUS-005","AUS-SYS-022","Siemens Opcenter MES","AUS-SYS-009","SAP S/4HANA","bidirectional","API call","RFC/HTTPS","hourly","Production orders, material consumption, goods movements and yield confirmations","SAP sends production orders to MES; MES confirms yield and component consumption back to SAP for inventory and cost accounting"
"INT-AUS-006","AUS-SYS-022","Siemens Opcenter MES","AUS-SYS-007","Apache Kafka","one-way","event stream","Kafka Producer API","real-time","Production events, cycle times, equipment states and shift throughput metrics","MES publishes shop-floor events to Kafka for ingestion into the Hadoop data lake"
"INT-AUS-007","AUS-SYS-023","Rockwell FactoryTalk SCADA","AUS-SYS-007","Apache Kafka","one-way","event stream","Kafka Producer API","real-time","High-frequency sensor readings — temperature, pressure, flow rates and motor current","SCADA publishes raw sensor telemetry to Kafka for real-time streaming into the data lake historian"
"INT-AUS-008","AUS-SYS-028","Honeywell Building Manager","AUS-SYS-007","Apache Kafka","one-way","event stream","MQTT","real-time","Environmental sensor readings from all monitored zones","Building manager publishes environmental data to Kafka for data lake storage and long-term trend analytics"
"INT-AUS-009","AUS-SYS-007","Apache Kafka","AUS-SYS-003","CDP Edge Node","one-way","event stream","Kafka Consumer API","real-time","All topics — manufacturing events, sensor telemetry and environmental data","CDP edge node consumes all Kafka topics and lands data into HDFS on the primary cluster"
"INT-AUS-010","AUS-SYS-003","CDP Edge Node","AUS-SYS-001","CDP Primary Cluster","one-way","file transfer","HDFS RPC","real-time","Raw ingested data streams from all Kafka topics","Edge node writes ingested data into HDFS on the primary cluster for storage and downstream processing"
"INT-AUS-011","AUS-SYS-001","CDP Primary Cluster","AUS-SYS-002","CDP Secondary Cluster","bidirectional","replication","HDFS DistCp","continuous","Full HDFS data replication for high availability and disaster recovery","Primary cluster replicates all HDFS blocks to the secondary cluster to maintain hot standby availability"
