NFR,Sector,Table,Type,Technology,Fuel,Abatement,Region,Pollutant,Value,Unit,CI_lower,CI_upper,Reference
1.A.1.a,Public electricity and heat production,Table_3-4,Tier 1 Emission Factor,NA,Natural gas,US Region,NA,SOx,0.281,g/GJ,0.169,0.393,"US EPA (1998), chapter 1.4"
1.A.1.a,Public electricity and heat production,Table_3-4,Tier 1 Emission Factor,NA,Natural gas,,NA,Cr,0.00076,mg/GJ,0.00025,0.00228,"Nielsen et al., 2012"
1.A.1.a,Public electricity and heat production,Table_3-4,Tier 1 Emission Factor,NA,Natural gas,,NA,As,0.12,mg/GJ,0.027,0.36,"Nielsen et al., 2012; DBI 2014"
1.A.1.a,Public electricity and heat production,Table_3-4,Tier 1 Emission Factor,NA,Natural gas,,NA,Hg,0.1,mg/GJ,0.01,1,"Nielsen et al., 2010"
1.A.1.a,Public electricity and heat production,Table_3-4,Tier 1 Emission Factor,NA,Natural gas,,NA,Cd,0.00025,mg/GJ,8E-05,0.00075,"Nielsen et al., 2012"
1.A.1.a,Public electricity and heat production,Table_3-4,Tier 1 Emission Factor,NA,Natural gas,,NA,Pb,0.0015,mg/GJ,0.0005,0.0045,"Nielsen et al., 2012"
1.A.1.a,Public electricity and heat production,Table_3-4,Tier 1 Emission Factor,NA,Natural gas,,NA,PM2.5,0.89,g/GJ,0.445,1.33,"US EPA (1998), chapter 1.4"
1.A.1.a,Public electricity and heat production,Table_3-6,Tier 1 Emission Factor,NA,Heavy Fuel Oil,,NA,Cu,5.31,mg/GJ,2.66,10.6,"US EPA (2010), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-4,Tier 1 Emission Factor,NA,Natural gas,,NA,TSP,0.89,g/GJ,0.445,1.33,"US EPA (1998), chapter 1.4"
1.A.1.a,Public electricity and heat production,Table_3-4,Tier 1 Emission Factor,NA,Natural gas,,NA,Se,0.0112,mg/GJ,0.00375,0.0337,"US EPA (1998), chapter 1.4"
1.A.1.a,Public electricity and heat production,Table_3-4,Tier 1 Emission Factor,NA,Natural gas,,NA,NMVOC,2.6,g/GJ,0.65,10.4,"US EPA (1998), chapter 1.4"
1.A.1.a,Public electricity and heat production,Table_3-4,Tier 1 Emission Factor,NA,Natural gas,,NA,CO,39.3,g/GJ,19.7,60,"US EPA (1998), chapter 1.4"
